temperature,humidity,wind_speed,pressure,rainfall,disaster_type,risk
13,86,4,997,375,Earthquake,Extreme
12,49,28,1004,203,Flood,High
39,83,22,1025,263,Wildfire,Extreme
17,22,43,1005,458,Cyclone,Extreme
48,62,4,1021,214,Wildfire,High
24,70,27,1013,433,Earthquake,Extreme
13,97,3,992,330,Earthquake,Extreme
22,60,17,980,275,Flood,Extreme
43,95,5,1018,263,Wildfire,Extreme
47,94,1,1006,243,Landslide,Extreme
32,24,6,1010,79,Flood,Low
26,37,41,1018,415,Cyclone,Extreme
19,86,35,995,276,Wildfire,Extreme
20,83,12,1021,319,Flood,Extreme
26,84,28,1015,413,Landslide,Extreme
43,41,8,1000,223,Wildfire,High
40,61,44,992,144,Cyclone,High
50,24,9,995,41,Cyclone,Low
21,62,36,1009,336,Cyclone,Extreme
33,100,40,1005,352,Cyclone,Extreme
11,73,39,999,1,Earthquake,Low
27,92,17,1023,315,Wildfire,Extreme
14,25,38,993,38,Wildfire,Low
40,28,39,988,166,Wildfire,High
34,90,13,994,439,Wildfire,Extreme
46,83,24,1001,124,Cyclone,High
49,84,21,983,239,Landslide,Extreme
42,94,35,997,368,Landslide,Extreme
33,52,30,1017,246,Wildfire,Extreme
22,26,22,991,389,Flood,Extreme
35,88,16,994,224,Flood,Extreme
46,58,6,1012,429,Earthquake,Extreme
10,51,41,1013,407,Earthquake,Extreme
27,54,35,992,298,Landslide,Extreme
15,68,6,994,406,Landslide,Extreme
11,60,13,1006,110,Landslide,Medium
33,89,2,1024,386,Wildfire,Extreme
46,83,36,990,178,Cyclone,Extreme
11,47,34,1024,308,Cyclone,Extreme
13,33,37,1008,202,Flood,High
24,75,23,997,438,Wildfire,Extreme
45,63,19,1013,189,Flood,High
42,70,30,1010,295,Flood,Extreme
14,36,33,998,184,Flood,High
20,79,30,987,271,Landslide,Extreme
19,27,37,980,18,Flood,Low
20,68,22,1017,368,Landslide,Extreme
40,95,28,1001,218,Cyclone,Extreme
12,54,5,995,68,Landslide,Low
24,84,5,1014,34,Cyclone,Low
11,68,17,1012,377,Flood,Extreme
17,82,16,1005,348,Landslide,Extreme
22,97,30,989,41,Wildfire,Medium
27,67,44,1016,461,Wildfire,Extreme
30,76,19,1004,356,Flood,Extreme
19,76,36,1024,299,Earthquake,Extreme
41,31,28,1011,272,Cyclone,Extreme
47,25,21,1017,461,Wildfire,Extreme
21,75,8,980,201,Earthquake,High
11,61,19,988,445,Earthquake,Extreme
24,44,15,1022,367,Landslide,Extreme
47,54,5,981,354,Flood,Extreme
17,80,15,1015,457,Earthquake,Extreme
15,33,36,988,480,Flood,Extreme
11,29,33,1015,131,Wildfire,Medium
45,35,11,988,281,Earthquake,Extreme
23,20,42,1001,379,Flood,Extreme
36,59,11,1009,57,Earthquake,Medium
40,37,34,995,52,Wildfire,Medium
48,67,15,988,398,Landslide,Extreme
43,72,41,984,213,Wildfire,Extreme
26,35,16,1022,288,Flood,Extreme
28,73,36,983,85,Cyclone,High
41,50,19,1022,258,Cyclone,Extreme
37,79,12,1018,472,Cyclone,Extreme
35,80,16,1017,38,Landslide,Medium
19,41,14,1017,274,Earthquake,High
24,66,18,1006,86,Flood,Medium
17,89,32,991,440,Cyclone,Extreme
15,50,25,1024,303,Flood,Extreme
14,66,42,983,5,Earthquake,Medium
19,37,42,991,125,Cyclone,Medium
39,91,33,998,247,Flood,Extreme
18,71,14,1021,106,Earthquake,Medium
19,41,42,1022,132,Landslide,Medium
43,66,14,1010,272,Flood,Extreme
34,40,3,992,364,Wildfire,Extreme
50,85,12,993,372,Flood,Extreme
35,70,1,1006,342,Flood,Extreme
14,81,8,1000,327,Flood,Extreme
41,26,5,1016,346,Wildfire,Extreme
26,99,37,983,259,Cyclone,Extreme
46,29,21,1024,209,Cyclone,High
32,67,18,1025,161,Flood,High
36,71,8,984,391,Flood,Extreme
45,24,1,981,392,Landslide,Extreme
25,30,17,984,479,Cyclone,Extreme
45,36,33,992,404,Flood,Extreme
25,81,37,1024,359,Flood,Extreme
26,95,36,996,344,Wildfire,Extreme
43,48,44,985,499,Cyclone,Extreme
15,64,40,996,39,Landslide,Medium
35,66,5,1017,320,Cyclone,Extreme
18,38,20,1013,428,Wildfire,Extreme
16,83,39,1016,327,Flood,Extreme
31,28,28,1021,341,Earthquake,Extreme
26,79,20,983,182,Earthquake,High
22,30,16,996,21,Cyclone,Low
28,61,37,1025,384,Landslide,Extreme
27,65,29,982,145,Landslide,High
29,25,20,985,313,Landslide,Extreme
31,97,27,986,478,Flood,Extreme
18,48,29,982,138,Landslide,High
16,41,35,1019,398,Flood,Extreme
49,38,43,1011,280,Flood,Extreme
24,57,25,995,376,Landslide,Extreme
13,81,45,1019,386,Earthquake,Extreme
17,74,6,1011,176,Flood,High
24,84,33,1024,178,Wildfire,High
32,43,25,1010,35,Landslide,Low
38,67,8,996,272,Earthquake,Extreme
49,21,14,1019,371,Cyclone,Extreme
40,25,8,1010,225,Flood,High
29,24,1,1015,202,Cyclone,Medium
44,70,1,988,97,Cyclone,Medium
22,98,7,981,95,Earthquake,Medium
41,53,20,985,62,Flood,Medium
11,20,17,1013,269,Wildfire,High
19,53,14,1024,116,Landslide,Medium
27,37,12,996,497,Cyclone,Extreme
47,44,43,1004,97,Flood,High
10,23,19,1016,372,Earthquake,Extreme
33,73,11,1008,449,Cyclone,Extreme
39,86,40,1005,83,Flood,High
50,62,31,1021,452,Flood,Extreme
33,61,3,1003,99,Wildfire,Medium
43,82,8,1002,7,Cyclone,Low
13,72,16,1000,305,Wildfire,Extreme
42,40,16,980,245,Cyclone,Extreme
13,20,33,1009,16,Earthquake,Low
19,64,28,1008,454,Flood,Extreme
29,40,22,1010,314,Cyclone,Extreme
34,43,45,983,89,Cyclone,Medium
31,42,39,993,235,Earthquake,Extreme
43,76,33,1021,191,Earthquake,High
29,20,3,987,429,Wildfire,Extreme
39,68,45,994,391,Earthquake,Extreme
10,68,1,1004,384,Cyclone,Extreme
20,77,19,1018,81,Landslide,Medium
20,38,28,992,486,Earthquake,Extreme
26,53,2,991,300,Wildfire,Extreme
22,59,43,992,102,Wildfire,High
13,31,11,986,324,Landslide,Extreme
15,22,2,1025,480,Landslide,Extreme
13,27,34,997,341,Landslide,Extreme
32,81,13,1022,428,Flood,Extreme
39,91,36,982,220,Landslide,Extreme
26,70,25,986,415,Wildfire,Extreme
45,51,18,999,485,Earthquake,Extreme
28,64,44,991,6,Earthquake,Medium
20,97,44,1021,169,Flood,High
19,96,32,1005,485,Wildfire,Extreme
45,59,6,981,348,Landslide,Extreme
20,82,24,1009,69,Flood,Medium
25,54,8,984,381,Wildfire,Extreme
11,29,19,995,142,Flood,Medium
25,38,42,985,253,Flood,Extreme
50,68,22,1002,36,Wildfire,Medium
50,91,8,1019,153,Wildfire,High
23,85,35,1005,343,Landslide,Extreme
38,25,17,1017,77,Flood,Medium
21,30,27,1002,280,Earthquake,Extreme
33,82,7,1002,241,Earthquake,Extreme
45,66,24,1004,68,Cyclone,Medium
13,39,39,1018,188,Earthquake,High
37,75,22,1010,244,Flood,Extreme
30,81,2,985,492,Flood,Extreme
43,52,31,1007,74,Wildfire,Medium
14,50,43,1020,118,Wildfire,Medium
50,30,15,1008,175,Flood,High
38,58,25,984,163,Earthquake,High
28,51,32,995,20,Landslide,Medium
43,72,2,1017,63,Wildfire,Medium
26,68,4,1016,286,Flood,Extreme
35,59,6,981,406,Cyclone,Extreme
31,88,22,1025,148,Cyclone,High
10,98,37,1011,187,Landslide,High
13,94,15,983,453,Wildfire,Extreme
42,65,16,1019,31,Cyclone,Medium
31,87,11,1008,19,Wildfire,Low
23,58,15,992,1,Landslide,Low
50,62,23,994,464,Wildfire,Extreme
40,76,30,1017,291,Flood,Extreme
12,34,43,987,88,Cyclone,Medium
17,75,34,994,229,Earthquake,Extreme
42,68,19,1019,308,Wildfire,Extreme
15,34,35,1025,186,Flood,High
16,55,17,1001,125,Flood,Medium
27,31,11,1012,53,Landslide,Low
12,73,23,992,62,Wildfire,Medium
35,56,23,1002,348,Landslide,Extreme
49,35,44,995,363,Earthquake,Extreme
36,40,25,1022,198,Flood,High
15,92,40,1008,97,Flood,High
27,92,1,998,197,Earthquake,High
29,63,39,1005,91,Wildfire,Medium
30,26,38,984,188,Cyclone,High
33,98,13,1008,124,Earthquake,High
50,33,41,999,487,Flood,Extreme
42,92,25,1005,47,Wildfire,Medium
13,38,30,992,146,Landslide,Medium
28,43,29,991,447,Earthquake,Extreme
12,37,11,987,277,Flood,High
17,25,30,981,9,Wildfire,Low
28,61,21,984,217,Wildfire,Extreme
44,63,24,1017,194,Cyclone,High
48,48,35,1000,190,Flood,High
11,33,36,981,395,Earthquake,Extreme
36,95,29,994,4,Earthquake,Medium
31,98,13,998,471,Earthquake,Extreme
24,48,21,990,107,Flood,Medium
17,87,17,1003,358,Earthquake,Extreme
31,73,44,981,255,Landslide,Extreme
10,99,45,993,196,Wildfire,Extreme
44,33,36,1020,453,Wildfire,Extreme
30,55,33,986,196,Earthquake,High
27,84,43,1011,338,Flood,Extreme
12,28,31,997,120,Earthquake,Medium
42,31,43,1025,239,Wildfire,Extreme
36,31,43,1006,464,Earthquake,Extreme
45,21,9,1009,405,Earthquake,Extreme
33,100,24,1019,491,Cyclone,Extreme
23,34,34,1001,471,Wildfire,Extreme
13,30,42,991,101,Landslide,Medium
14,75,17,992,497,Flood,Extreme
13,48,2,1010,136,Wildfire,Medium
44,26,6,994,416,Wildfire,Extreme
47,60,44,1003,95,Flood,High
47,87,43,1003,201,Landslide,Extreme
18,86,6,1019,329,Landslide,Extreme
43,79,5,1004,0,Earthquake,Low
24,95,15,1024,161,Flood,High
48,99,43,1024,333,Landslide,Extreme
26,88,44,1022,389,Cyclone,Extreme
31,97,4,1007,290,Cyclone,Extreme
44,30,43,1010,328,Landslide,Extreme
50,92,38,1000,68,Flood,High
50,38,22,1007,19,Wildfire,Low
38,30,27,1012,336,Cyclone,Extreme
39,22,39,983,49,Earthquake,Medium
26,54,45,998,358,Cyclone,Extreme
39,94,10,995,378,Wildfire,Extreme
26,85,1,1014,221,Flood,High
47,84,15,983,133,Flood,High
18,82,17,986,44,Landslide,Medium
14,56,45,1020,196,Earthquake,High
17,57,10,1014,460,Landslide,Extreme
36,73,17,993,281,Flood,Extreme
30,74,44,1023,324,Cyclone,Extreme
18,60,32,1019,210,Cyclone,High
11,40,31,1007,10,Cyclone,Low
20,50,19,1004,415,Cyclone,Extreme
41,81,44,999,495,Wildfire,Extreme
48,87,45,1019,2,Cyclone,Medium
36,45,25,993,153,Cyclone,High
23,83,24,992,478,Landslide,Extreme
27,21,22,1007,448,Wildfire,Extreme
30,93,2,987,238,Landslide,Extreme
13,35,17,1013,291,Flood,Extreme
40,50,23,1014,0,Flood,Low
37,70,21,1003,380,Cyclone,Extreme
16,33,28,1011,174,Cyclone,High
18,97,42,1002,159,Flood,High
30,48,10,1007,283,Earthquake,Extreme
36,40,13,1008,251,Landslide,High
43,74,26,1007,339,Cyclone,Extreme
42,79,34,1009,232,Landslide,Extreme
50,59,33,995,292,Landslide,Extreme
37,68,37,1016,215,Landslide,Extreme
44,82,2,1015,61,Wildfire,Medium
42,57,15,989,434,Wildfire,Extreme
21,62,43,980,270,Earthquake,Extreme
23,89,25,1023,239,Earthquake,Extreme
29,96,29,985,128,Cyclone,High
40,40,31,1018,142,Cyclone,High
33,98,31,1002,155,Cyclone,High
17,49,28,982,147,Cyclone,High
46,56,11,991,352,Landslide,Extreme
29,98,20,1017,21,Earthquake,Medium
47,69,2,985,57,Landslide,Medium
14,20,8,995,285,Earthquake,High
31,83,14,989,496,Wildfire,Extreme
10,91,16,1008,483,Cyclone,Extreme
22,69,23,995,11,Landslide,Low
48,93,34,1000,168,Wildfire,Extreme
11,62,40,996,19,Earthquake,Medium
34,79,1,1013,192,Cyclone,High
21,50,34,988,97,Earthquake,Medium
34,23,10,1003,384,Flood,Extreme
28,91,33,997,334,Wildfire,Extreme
45,67,21,986,241,Flood,Extreme
29,86,19,1016,454,Flood,Extreme
36,77,18,1024,361,Landslide,Extreme
43,87,39,1013,223,Landslide,Extreme
28,80,5,1012,377,Landslide,Extreme
30,81,29,981,242,Landslide,Extreme
33,95,6,1008,206,Earthquake,High
45,76,41,999,433,Earthquake,Extreme
49,47,45,985,106,Earthquake,High
21,93,20,1018,252,Landslide,Extreme
39,92,39,1005,62,Earthquake,High
47,29,36,1014,442,Flood,Extreme
22,85,1,995,103,Earthquake,Medium
43,53,27,995,97,Landslide,Medium
14,74,34,998,193,Cyclone,High
24,63,44,1015,70,Wildfire,Medium
39,88,41,1005,82,Flood,High
13,63,42,1017,273,Earthquake,Extreme
35,44,24,1002,149,Landslide,High
17,83,35,1014,364,Landslide,Extreme
32,49,41,981,48,Earthquake,Medium
21,86,1,991,146,Wildfire,High
10,56,13,1004,98,Wildfire,Medium
34,42,8,999,22,Flood,Low
39,57,29,984,25,Earthquake,Medium
50,95,33,992,436,Landslide,Extreme
44,47,11,1023,58,Wildfire,Medium
48,47,25,993,359,Wildfire,Extreme
30,30,22,985,367,Landslide,Extreme
44,26,24,996,203,Earthquake,High
25,49,3,1024,460,Cyclone,Extreme
16,32,6,1004,49,Earthquake,Low
11,68,19,982,19,Earthquake,Low
27,68,23,1021,235,Earthquake,High
42,56,22,1011,392,Earthquake,Extreme
27,99,45,990,274,Wildfire,Extreme
26,42,42,986,89,Landslide,Medium
38,43,28,987,236,Flood,Extreme
21,49,1,982,166,Earthquake,High
21,47,5,980,291,Landslide,Extreme
38,65,7,1018,184,Cyclone,High
10,94,14,1010,220,Cyclone,High
14,44,6,1000,310,Landslide,Extreme
30,28,30,1012,496,Landslide,Extreme
49,36,13,1013,460,Landslide,Extreme
